company,year,asset/equity,cash&equi_to_asset,a/w,size,asset/lia,industry
G20,2016.0,3.033797433171714,0.002827388484307188,229323241379.36,26.158398379634473,1.4916910522600553,Hàng Tiêu dùng
G20,2017.0,2.79268890600333,0.009783662192607777,315859742033.5,26.478564097679634,1.5578212687383821,Hàng Tiêu dùng
G20,2018.0,3.1048471997783413,0.01061278203671978,232366163443.06003,26.171580255128056,1.475093869096678,Hàng Tiêu dùng
G20,2019.0,-4.320387639694306,0.011385530429718009,132641825470.7,25.61091829084198,0.8120437705442347,Hàng Tiêu dùng
G20,2020.0,-1.0619784019908125,0.02702208642682188,68030445276.99,24.943221166600054,0.5150288678899287,Hàng Tiêu dùng
G20,2021.0,-0.9216448601810633,0.005351114210944937,64770995564.08,24.89412374079785,0.4796124816185979,Hàng Tiêu dùng
G20,2022.0,-0.7888804939308525,0.0036940732927353845,57265369698.0,24.770961909708195,0.440991165484387,Hàng Tiêu dùng
G20,2023.0,-0.6993990750697284,0.0017935129081024634,55224592135.659996,24.73467420074157,0.41155669985346505,Hàng Tiêu dùng
G36,2016.0,16.44315734043817,0.08374263618422284,9120674284.389528,28.983543028223668,1.0647535978527838,Công nghiệp
G36,2017.0,14.92784296781249,0.06625984797706534,11336501344.698349,29.20102701947984,1.071798626844876,Công nghiệp
G36,2018.0,6.009520113132161,0.04501334402938254,9694167401.664553,29.044523698037857,1.1996199191572379,Công nghiệp
G36,2019.0,5.646109248611345,0.05024561851366903,9094193913.428185,28.980635470581312,1.2152338540680863,Công nghiệp
G36,2020.0,5.793996592532694,0.04623269593984517,8674184636.115282,28.933350623521054,1.2085942241923235,Công nghiệp
G36,2021.0,4.667035012072806,0.06084870258449727,7221100019.963868,28.750006590813946,1.272699877887107,Công nghiệp
G36,2022.0,4.624106182953864,0.06870850418084742,7048339312.641509,28.725791322764056,1.2759301051121354,Công nghiệp
G36,2023.0,4.418988913923707,0.05704200414957728,6620271285.889527,28.663135641029616,1.2924841305941461,Công nghiệp
G36,2024.0,4.28056633969078,0.10267312236460298,6261404970.270212,28.60740388825413,1.3048254162402513,Công nghiệp
GAB,2017.0,1.315697540620643,0.012940566949452314,670926299.9313252,24.743010460550156,4.167588819456935,Công nghiệp
GAB,2018.0,1.904535530497738,0.013723213102930381,1036057155.6539758,25.177528756620315,2.105539767409391,Công nghiệp
