in_stock_lag1,invest_nav_lag1,long_receive_lag1,long_liability_lag1,other_long_asset_lag1,cwip_lag1,other_short_asset_lag1,long_invest_lag1,other_fund_lag1,gov_own_lag1,for_own_lag1,roe_lag1,expense_lag1,company,year,roe
96075305094.96,0.0,0.0,2821701530.0,16120528496.68,5053541695.24,979101152.34,116065477460.0,0.0,0.0,1.0,0.0336,192112838124.6,ABT,2021.0,0.0815
105995524388.4,0.0,0.0,2502198600.0,15906424491.0,13550961319.8,946396484.4,112321429800.0,0.0,0.0,1.0,0.0815,193154735312.4,ABT,2022.0,0.1446
62716608988.53999,0.0,0.0,2077673679.9999998,21765419131.8,3410270948.2599998,3783364419.16,108577382140.0,0.0,0.0,0.0,0.1446,325496911522.78,ABT,2023.0,0.1328
52221169933.13999,0.0,0.0,1772478269.9999998,16397431802.55,4304013043.32,803529687.9899999,106705358309.99998,0.0,0.0,0.0,0.1328,276572755049.51996,ABT,2024.0,0.1927
54076954809.64,0.0,1450936404.0,2534480734.96,923378262.4399999,118041857.97999999,1996391074.6499999,17591768131.94,0.0,1.0,1.0,0.1976,214292959424.52,ACC,2016.0,0.2085
41110045164.299995,0.0,1430500680.0,1221246259.1,1180386716.6,15272727.399999999,2521024629.8999996,15172061571.8,0.0,0.0,0.0,0.2085,241549986790.0,ACC,2017.0,0.1228
84408904111.24,0.0,1369193508.0,2725763277.3300004,1772005527.9,170344390.53,2342285605.55,16245969058.04,0.0,0.0,0.0,0.1228,165728796111.02002,ACC,2018.0,0.1537
97091996933.75,5579530041.8,1328322060.0,6206969201.55,1492824851.05,0.0,3028660512.15,17127752198.050001,0.0,0.0,0.0,0.1537,222005632751.5,ACC,2019.0,0.1993
49348076289.12,5407852194.36,1287450612.0,28778380599.15,2786910363.09,183894413.22,1109141610.57,16714144438.11,0.0,1.0,1.0,0.1993,266070689461.71,ACC,2020.0,0.1711
219649252153.9,5322013270.64,1866983634.74,25653396987.48,15341875734.44,0.0,1330340766.06,16448840558.14,0.0,0.0,1.0,0.1711,246216649837.4,ACC,2021.0,0.0801
322079118920.39996,0.0,153000000000.0,151683766648.19998,11029607154.0,0.0,494097817.79999995,43328610720.0,0.0,0.0,1.0,0.0801,183598014347.4,ACC,2022.0,0.0984
528953958609.22,0.0,57999999999.99999,6601897171.98,15148842181.859999,0.0,1371576872.3799999,41884323696.0,0.0,0.0,0.0,0.0984,332339295584.2,ACC,2023.0,0.056
573708032206.7699,0.0,56999999999.99999,103995868017.06,14512493754.63,223789572511.55997,16350424345.439999,41162180184.0,0.0,0.0,0.0,0.056,316472262009.20996,ACC,2024.0,0.0402
71343208738.19,0.0,0.0,0.0,79596687.81,0.0,87926400.0,0.0,0.0,0.0,0.0,0.2295,280453000082.28,ACC224,2016.0,0.2518
118909271708.5,0.0,0.0,0.0,87504902.1,0.0,1819636215.6,0.0,0.0,0.0,0.0,0.2518,341796790617.8,ACC224,2017.0,0.2391
78198504015.66,0.0,0.0,0.0,23222901.490000002,0.0,661394639.26,0.0,0.0,0.0,0.0,0.2391,328504600346.83997,ACC224,2018.0,0.2037
35887618282.75,0.0,0.0,0.0,20772755.900000002,0.0,1327426785.1000001,0.0,0.0,0.0,0.0,0.2037,289432218584.6,ACC224,2019.0,0.1891
33888969654.75,0.0,0.0,782019000.0,25704698.67,0.0,0.0,0.0,0.0,1.0,0.0,0.1891,267691208706.18,ACC224,2020.0,0.167
55442837651.52,0.0,0.0,427614000.0,58781337.58,0.0,2231098735.7599998,0.0,0.0,1.0,0.0,0.167,288932997491.51996,ACC224,2021.0,0.1043
22590320407.2,0.0,0.0,0.0,45995774.4,0.0,8841022.799999999,0.0,0.0,0.0,0.0,0.1043,210507052215.6,ACC224,2022.0,0.1249
33182085358.839996,0.0,0.0,0.0,30845376.72,0.0,2133146690.1799998,0.0,0.0,0.0,0.0,0.1249,268015995379.63995,ACC224,2023.0,0.1707
29398670250.749996,0.0,0.0,0.0,36019955.849999994,0.0,3989633765.8799996,0.0,0.0,0.0,0.0,0.1707,500055123994.82996,ACC224,2024.0,0.1931
21486981866.11,0.0,0.0,109056000.0,461614866.64,61155526.949999996,0.0,2769000000.0,0.0,1.0,1.0,0.305,163212677244.12997,ACE,2016.0,0.3038
27220127448.5,0.0,0.0,765828000.0,142023249.89999998,170760289.0,0.0,2730000000.0,0.0,0.0,0.0,0.3038,178666640177.19998,ACE,2017.0,0.2121
23683881793.68,0.0,0.0,265324270.58,1321586400.72,0.0,0.0,2613000000.0,0.0,0.0,0.0,0.2121,160273144270.55002,ACE,2018.0,0.1826
41081605064.5,0.0,0.0,0.0,1310569669.5,0.0,29378179.35,2535000000.0,0.0,0.0,0.0,0.1826,152487060746.15002,ACE,2019.0,0.2201
37904084555.4,0.0,0.0,983253474.0,1375770805.29,91510457.85,215711131.86,2457000000.0,0.0,1.0,1.0,0.2201,169081238839.59,ACE,2020.0,0.2679
28830261217.78,0.0,0.0,15119354561.9,2527574877.88,278544109.04,128154064.48,2418000000.0,0.0,1.0,1.0,0.2679,167378557564.74,ACE,2021.0,0.2644
38673008574.6,0.0,0.0,0.0,1295157987.0,27001288.8,373057018.8,2340000000.0,0.0,1.0,1.0,0.2644,134576835181.8,ACE,2022.0,0.2389
42425571878.18,0.0,0.0,0.0,1869507185.58,0.0,34655983.68,2262000000.0,0.0,0.0,0.0,0.2389,167740363428.16,ACE,2023.0,0.2082
32422468006.26,0.0,0.0,973086899.9999999,1531001087.3999999,536837821.79999995,156507541.38,2223000000.0,0.0,0.0,0.0,0.2082,155693485377.18,ACE,2024.0,0.2137
674174945979.52,0.0,592333600.0,0.0,138854295641.92,545155413.32,21020916080.04,0.0,0.0,0.0,0.0,0.2493,1704740681419.15,ACG,2018.0,0.2188
901421403214.15,0.0,966372550.0,0.0,153128273767.95,15026226689.5,63366671512.3,0.0,0.0,0.0,0.0,0.2188,2108376305395.75,ACG,2019.0,0.1643
831569747196.51,0.0,1359494010.0,1478572200.0,163820796748.56,809427046.68,44823249224.46,52290000000.0,0.0,0.0,0.0,0.1643,2485149502288.9497,ACG,2020.0,0.1429
702438102665.78,0.0,3551812972.0,4088870226.98,137137973887.06,1649475999.82,20272094952.66,0.0,0.0,0.0,0.0,0.1429,2037170211635.6802,ACG,2021.0,0.1237
828180786279.0,0.0,193401908043.0,5728593658.2,119026429763.4,855328169.4,14940910212.6,165130620000.0,0.0,0.0,1.0,0.1237,1728885443902.7998,ACG,2022.0,0.1601
850777156691.22,0.0,212827319412.21997,7348731591.559999,116735418265.07999,2662300997.14,27641929192.64,357182096000.0,0.0,0.0,0.0,0.1601,2234970221132.46,ACG,2023.0,0.1029
646667358083.73,0.0,94020584358.26999,8561868488.699999,112878429895.49998,12278966164.14,9633978371.939999,342615847797.81,0.0,0.0,0.0,0.1029,1909104931946.64,ACG,2024.0,0.1018
319441939426.24,0.0,175334500.0,62643290836.74,2657874202.3199997,23979203960.55,27700397356.44,1151305548.81,0.0,0.0,1.0,0.1003,759912977297.75,ACL,2016.0,0.072
323960943784.8,0.0,174905500.0,43489163351.899994,5429877288.5,5808968825.799999,39282929424.2,1117524130.1,0.0,0.0,0.0,0.072,848372890454.5999,ACL,2017.0,0.0594
217898022610.90002,0.0,167041050.0,24376892892.09,6163816404.59,12934321329.36,41145246213.48,1069630238.8100001,0.0,0.0,0.0,0.0594,748681350724.76,ACL,2018.0,0.494
300447990523.85004,0.0,0.0,0.0,3653940369.9500003,4025965757.4500003,43929033058.950005,1092000000.0,0.0,0.0,0.0,0.494,905002110983.1,ACL,2019.0,0.2314
445092507912.78,0.0,0.0,0.0,4949783485.29,3839987417.4900002,43459436873.16,1058400000.0,0.0,0.0,1.0,0.2314,767400192415.08,ACL,2020.0,0.0414
604122109146.26,0.0,0.0,0.0,4338116754.96,5476491671.46,41477654376.04,620000000.0,0.0,0.0,1.0,0.0414,543906953697.34,ACL,2021.0,0.0601
